Продукт,Морозильник (без вакуума),Холодильник (без вакуума),Комнатная температура (без вакуума),Морозильник (с вакуумом),Холодильник (с вакуумом),Комнатная температура (с вакуумом),-20 до -16 (без вакуума),-16 до 12 (без вакуума),-12 до -8 (без вакуума),-8 до -4 (без вакуума),-4 до 0 (без вакуума),0 до 4 (без вакуума),4 до 8 (без вакуума),8 до 12 (без вакуума),12 до 16 (без вакуума),16 до 20 (без вакуума),-20 до -16 (с вакуумом),-16 до 12 (с вакуумом),-12 до -8 (с вакуумом),-8 до -4 (с вакуумом),-4 до 0 (с вакуумом),0 до 4 (с вакуумом),4 до 8 (с вакуумом),8 до 12 (с вакуумом),12 до 16 (с вакуумом),16 до 20 (с вакуумом)
Брауни,60-90 суток,3-5 суток,2-3 суток,60-90 суток,5-7 суток,2-3 суток,180-360 суток,120-240 суток,90-180 суток,60-120 суток,30-60 суток,7-14 суток,3-7 суток,2-5 суток,1-3 суток,1-2 суток,60-90 суток,30-60 суток,14-30 суток,14-30 суток,10-14 суток,7-14 суток,7-14 суток,5-7 суток,3-5 суток,2-3 суток
Варенье,до 365 суток,30-90 суток,20-50 суток,360-540 суток,90-120 суток,14-30 суток,360-540 суток,300-420 суток,240-360 суток,180-300 суток,120-240 суток,60-120 суток,60-120 суток,30-90 суток,30-60 суток,30 суток,360-540 суток,360 суток,270-360 суток,180-270 суток,120-180 суток,90-120 суток,60-90 суток,30-60 суток,30 суток,14-30 суток
Мороженое,60-90 суток,2-5 часов,2 часа,60-90 суток,14-21 сутки,2 часа,180-360 суток,120-240 суток,60-180 суток,45-60 суток,"30-45
суток",14-28 суток,7-14 суток,7 суток,3-5 суток,1-3 суток,60-90 суток,30-60 суток,14-30 суток,7-14 суток,3-5 суток,2-3 суток,1-2 суток,1 суток,5 часов,3 часов
Мармелад,240-360 суток,60-90 суток,30 суток,360-540 суток,180-360 суток,30-60 суток,360 суток,270-360 суток,180-270 суток,60-90 суток,60-75 суток,45-60 суток,30-45 суток,30-45 суток,30-45 суток,20-30 суток,360-540 суток,360 суток,270-360 суток,180-270 суток,120-180 суток,90-120 суток,60-90 суток,30-60 суток,30 суток,14-30 суток
Печенье,60-180 суток,10-14 суток,7-10 суток,180-270 суток,60-90 суток,7-14 суток,180-360 суток,180-270 суток,90-180 суток,75-90 суток,60-75 суток,60-75 суток,30-45 суток,30-45 суток,30-60 суток,30-60 суток,300-360 суток,270-300 суток,180-270 суток,120-180 суток,90-120 суток,60-90 суток,45-60 суток,30-45 суток,14-30 суток,7-14 суток
Суфле,90-120 суток,14-30 суток,3-5 суток,60-90 суток,7-14 суток,1-2 суток,2 часа,2 часа,3-5 суток,3-5 суток,3-5 суток,3-5 суток,2-3 суток,1–2 суток,2 часа,2 часа,60-90 суток,30-60 суток,30-45 суток,30-60 суток,30-60 суток,14-30 суток,7-14 суток,3-5 суток,2-3 суток,1-2 суток
Шоколад,180-270 суток,90-180 суток,60-90 суток,300-360 суток,180-270 суток,60-90 суток,360-540 суток,270-360 суток,180-270 суток,90-180 суток,60-120 суток,45-60 суток,30-45 суток,30-45 суток,20-30 суток,20-30 суток,540-720 сутко,360-540 суток,360 суток,300-360 суток,180-270 суток,150-180 суток,120-150 суток,120-180 суток,90-120 суток,60-90 суток
Хлеб,60-90 суток,3-7 суток,2-3 суток,60-90 суток,7-14 суток,3-5 суток,60-90 суток,45-60 суток,30-45 суток,20-30 суток,10-20 суток,7-10 суток,5-7 суток,3-5 суток,2-3 суток,1-2 суток,90-120 суток,60-90 суток,45-60 суток,30-45 суток,14-28 суток,10-14 суток,7-10 суток,5-7 суток,3-5 суток,2-3 суток
Супы,60-90 суток,5-7 суток,1 сутки,60-90 суток,5-7 суток,3-5 суток,60-90 суток,45-60 суток,30-45 суток,20-30 суток,10-20 суток,5-10 суток,3-5 суток,2-3 суток,1-2 суток,1 сутки,90-120 суток,60-90 суток,45-60 суток,30-45 суток,14-28 суток,10-14 суток,7-10 суток,5-7 суток,3-5 суток,2-3 суток
Соусы,60-90 суток,7-10 суток,1 сутки,60-90 суток,5-7 суток,3-5 суток,60-90 суток,45-60 суток,30-45 суток,20-30 суток,10-20 суток,7-10 суток,3-7 суток,2-3 суток,1-2 суток,1 сутки,60-90 суток,45-60 суток,30-45 суток,30-45 суток,14-28 суток,10-14 суток,7-10 суток,5-7 суток,3-5 суток,2-3 суток
